咪咕,#genre#
天津卫视HD,http://beijinglive.online.domybox.com:91/live/TJWShd-8M/live.m3u8
重庆卫视HD,http://beijinglive.online.domybox.com:91/live/CQWShd-8M/live.m3u8
黑龙江卫视HD,http://beijinglive.online.domybox.com:91/live/HLJWShd-8M/live.m3u8
吉林卫视HD,http://beijinglive.online.domybox.com:91/live/JLWShd-8M/live.m3u8
辽宁卫视HD,http://beijinglive.online.domybox.com:91/live/LNWShd-8M/live.m3u8
河北卫视HD,http://beijinglive.online.domybox.com:91/live/HeBWShd-8M/live.m3u8
山东卫视HD,http://beijinglive.online.domybox.com:91/live/SDWShd-8M/live.m3u8
安徽卫视HD,http://beijinglive.online.domybox.com:91/live/AHWShd-8M/live.m3u8
湖北卫视HD,http://beijinglive.online.domybox.com:91/live/HuBWShd-8M/live.m3u8
湖南卫视HD,http://beijinglive.online.domybox.com:91/live/HuNWShd-8M/live.m3u8
江西卫视HD,http://beijinglive.online.domybox.com:91/live/JXWShd-8M/live.m3u8
江苏卫视HD,http://beijinglive.online.domybox.com:91/live/JSWShd-8M/live.m3u8
浙江卫视HD,http://beijinglive.online.domybox.com:91/live/ZJWShd-8M/live.m3u8
东南卫视HD,http://beijinglive.online.domybox.com:91/live/DNWShd-8M/live.m3u8
广东卫视HD,http://beijinglive.online.domybox.com:91/live/GDWShd-8M/live.m3u8
深圳卫视HD,http://beijinglive.online.domybox.com:91/live/SZWShd-8M/live.m3u8
贵州卫视HD,http://beijinglive.online.domybox.com:91/live/GZWShd-8M/live.m3u8
河南卫视,http://beijinglive.online.domybox.com:91/live/HeNWS-1500k/live.m3u8
广西卫视,http://beijinglive.online.domybox.com:91/live/GXWS-1500k/live.m3u8
云南卫视,http://beijinglive.online.domybox.com:91/live/YNWS-1500k/live.m3u8
四川卫视,http://beijinglive.online.domybox.com:91/live/SCWS-1500k/live.m3u8
新疆卫视,http://beijinglive.online.domybox.com:91/live/XJWS-1500k/live.m3u8
兵团卫视,http://beijinglive.online.domybox.com:91/live/BTWS-1500k/live.m3u8
西藏卫视,http://beijinglive.online.domybox.com:91/live/XZWS-1500k/live.m3u8
海南卫视,http://beijinglive.online.domybox.com:91/live/LYWS-1500k/live.m3u8
三沙卫视,http://beijinglive.online.domybox.com:91/live/SSWS-1500k/live.m3u8
农林卫视,http://beijinglive.online.domybox.com:91/live/NLWS-1500k/live.m3u8
大湾区卫视,http://beijinglive.online.domybox.com:91/live/NFWS-1500k/live.m3u8
内蒙古卫视,http://beijinglive.online.domybox.com:91/live/NMGWS-1500k/live.m3u8
厦门卫视,http://beijinglive.online.domybox.com:91/live/XMWS-1500k/live.m3u8
宁夏卫视,http://beijinglive.online.domybox.com:91/live/NXWS-1500k/live.m3u8
甘肃卫视,http://beijinglive.online.domybox.com:91/live/GSWS-1500k/live.m3u8
青海卫视,http://beijinglive.online.domybox.com:91/live/QHWS-1500k/live.m3u8
山西卫视,http://beijinglive.online.domybox.com:91/live/SXWS1-1500k/live.m3u8
陕西卫视,http://beijinglive.online.domybox.com:91/live/SXWS3-1500k/live.m3u8
纪实文人HD,http://beijinglive.online.domybox.com:91/live/JSRWhd-8M/live.m3u8
哈哈炫动,http://beijinglive.online.domybox.com:91/live/XDKT-1500k/live.m3u8
金鹰卡通,http://beijinglive.online.domybox.com:91/live/JYKT-1500k/live.m3u8
金鹰纪实HD,http://beijinglive.online.domybox.com:91/live/JYJShd-8M/live.m3u8
嘉佳卡通,http://beijinglive.online.domybox.com:91/live/JJKT-1500k/live.m3u8
财富天下,http://beijinglive.online.domybox.com:91/live/CFTX-1500k/live.m3u8
北京文艺,http://beijinglive.online.domybox.com:91/live/BTVWYhd-5M/live.m3u8
北京体育休闲,http://beijinglive.online.domybox.com:91/live/BTVTYhd-8M/live.m3u8
北京影视,http://beijinglive.online.domybox.com:91/live/BTVYShd-5M/live.m3u8
北京财经,http://beijinglive.online.domybox.com:91/live/BTVCJhd-5M/live.m3u8
北京生活,http://beijinglive.online.domybox.com:91/live/BTVSHhd-5M/live.m3u8
北京新闻,http://beijinglive.online.domybox.com:91/live/BTVXWhd-5M/live.m3u8
北京纪实科教,http://beijinglive.online.domybox.com:91/live/BTVKJhd-5M/live.m3u8
北京纪实科教,http://beijinglive.online.domybox.com:91/live/BTVKJhd-8M/live.m3u8
北京国际,http://beijinglive.online.domybox.com:91/live/BTVGJ-1500k/live.m3u8


广东联通,#genre#
CCTV-1,http://sx.aisx.cc/live/gdlt.php?id=22g2dt
CCTV-2,http://sx.aisx.cc/live/gdlt.php?id=32a1b2
CCTV-3,http://sx.aisx.cc/live/gdlt.php?id=42c3d4
CCTV-4,http://sx.aisx.cc/live/gdlt.php?id=52e5f6
CCTV-5,http://sx.aisx.cc/live/gdlt.php?id=62g7h8
CCTV-5+,http://sx.aisx.cc/live/gdlt.php?id=72i9j0
CCTV-6,http://sx.aisx.cc/live/gdlt.php?id=82k1l2
CCTV-7,http://sx.aisx.cc/live/gdlt.php?id=92m3n4
CCTV-8,http://sx.aisx.cc/live/gdlt.php?id=102o5p
CCTV-9,http://sx.aisx.cc/live/gdlt.php?id=112q7r
CCTV-10,http://sx.aisx.cc/live/gdlt.php?id=122s5t
CCTV-11,http://sx.aisx.cc/live/gdlt.php?id=132u7v
CCTV-12,http://sx.aisx.cc/live/gdlt.php?id=142w9x
CCTV-13,http://sx.aisx.cc/live/gdlt.php?id=152y3z
CCTV-14,http://sx.aisx.cc/live/gdlt.php?id=162a5b
CCTV-15,http://sx.aisx.cc/live/gdlt.php?id=172c7d
CCTV-16,http://sx.aisx.cc/live/gdlt.php?id=182e9f
CCTV-17,http://sx.aisx.cc/live/gdlt.php?id=192g1h
CGTN,http://sx.aisx.cc/live/gdlt.php?id=202i3j
CGTN阿拉伯语,http://sx.aisx.cc/live/gdlt.php?id=212k5l
CGTN俄语频道,http://sx.aisx.cc/live/gdlt.php?id=812i3j
CGTN西班牙语频道,http://sx.aisx.cc/live/gdlt.php?id=822k5l
CGTN法语频道,http://sx.aisx.cc/live/gdlt.php?id=832o7p
CETV-1,http://sx.aisx.cc/live/gdlt.php?id=672e9f
CETV-2,http://sx.aisx.cc/live/gdlt.php?id=682g1h
CETV-3,http://sx.aisx.cc/live/gdlt.php?id=692i3j
CETV-4,http://sx.aisx.cc/live/gdlt.php?id=702k5l
发现之旅,http://sx.aisx.cc/live/gdlt.php?id=792e9f
老故事,http://sx.aisx.cc/live/gdlt.php?id=802g1h
广东卫视,http://sx.aisx.cc/live/gdlt.php?id=232o9p
江苏卫视,http://sx.aisx.cc/live/gdlt.php?id=242q5r
浙江卫视,http://sx.aisx.cc/live/gdlt.php?id=252s7t
湖南卫视,http://sx.aisx.cc/live/gdlt.php?id=262u9v
东方卫视,http://sx.aisx.cc/live/gdlt.php?id=272w5x
北京卫视,http://sx.aisx.cc/live/gdlt.php?id=282y7z
深圳卫视,http://sx.aisx.cc/live/gdlt.php?id=292a5b
辽宁卫视,http://sx.aisx.cc/live/gdlt.php?id=302c7d
安徽卫视,http://sx.aisx.cc/live/gdlt.php?id=312e9f
山东卫视,http://sx.aisx.cc/live/gdlt.php?id=322g1h
黑龙江卫视,http://sx.aisx.cc/live/gdlt.php?id=332i3j
天津卫视,http://sx.aisx.cc/live/gdlt.php?id=342k5l
广西卫视,http://sx.aisx.cc/live/gdlt.php?id=352o7p
东南卫视,http://sx.aisx.cc/live/gdlt.php?id=362q9r
甘肃卫视,http://sx.aisx.cc/live/gdlt.php?id=372s5t
贵州卫视,http://sx.aisx.cc/live/gdlt.php?id=382u7v
海南卫视,http://sx.aisx.cc/live/gdlt.php?id=392w9x
河北卫视,http://sx.aisx.cc/live/gdlt.php?id=402y3z
河南卫视,http://sx.aisx.cc/live/gdlt.php?id=412a5b
湖北卫视,http://sx.aisx.cc/live/gdlt.php?id=422c7d
吉林卫视,http://sx.aisx.cc/live/gdlt.php?id=432e9f
江西卫视,http://sx.aisx.cc/live/gdlt.php?id=442g1h
康巴卫视,http://sx.aisx.cc/live/gdlt.php?id=452i3j
安多卫视,http://sx.aisx.cc/live/gdlt.php?id=462k5l
兵团卫视,http://sx.aisx.cc/live/gdlt.php?id=472o7p
内蒙古卫视,http://sx.aisx.cc/live/gdlt.php?id=482q9r
宁夏卫视,http://sx.aisx.cc/live/gdlt.php?id=492s5t
农林卫视,http://sx.aisx.cc/live/gdlt.php?id=502u7v
三沙卫视,http://sx.aisx.cc/live/gdlt.php?id=512w9x
陕西卫视,http://sx.aisx.cc/live/gdlt.php?id=522y3z
上海纪实,http://sx.aisx.cc/live/gdlt.php?id=532a5b
四川卫视,http://sx.aisx.cc/live/gdlt.php?id=542c7d
西藏卫视,http://sx.aisx.cc/live/gdlt.php?id=552e9f
新疆卫视,http://sx.aisx.cc/live/gdlt.php?id=562g1h
延边卫视,http://sx.aisx.cc/live/gdlt.php?id=572i3j
云南卫视,http://sx.aisx.cc/live/gdlt.php?id=582k5l
重庆卫视,http://sx.aisx.cc/live/gdlt.php?id=592o7p
北京奥运纪实,http://sx.aisx.cc/live/gdlt.php?id=602q9r
家庭理财,http://sx.aisx.cc/live/gdlt.php?id=612s5t
金鹰卡通,http://sx.aisx.cc/live/gdlt.php?id=622u7v
卡酷少儿,http://sx.aisx.cc/live/gdlt.php?id=632w9x
女性时尚,http://sx.aisx.cc/live/gdlt.php?id=642y3z
炫动卡通,http://sx.aisx.cc/live/gdlt.php?id=652a5b
优漫卡通,http://sx.aisx.cc/live/gdlt.php?id=662c7d
中华美食,http://sx.aisx.cc/live/gdlt.php?id=712o7p
天元围棋,http://sx.aisx.cc/live/gdlt.php?id=722q9r
青海卫视,http://sx.aisx.cc/live/gdlt.php?id=732s5t
厦门卫视,http://sx.aisx.cc/live/gdlt.php?id=742u7v
早期教育,http://sx.aisx.cc/live/gdlt.php?id=752w9x
国学,http://sx.aisx.cc/live/gdlt.php?id=762y3z
山东教育电视台,http://sx.aisx.cc/live/gdlt.php?id=772a5b
嘉佳卡通,http://sx.aisx.cc/live/gdlt.php?id=782c7d
徐闻综合,http://sx.aisx.cc/live/gdlt.php?id=222m7n
梅州-1,http://sx.aisx.cc/live/gdlt.php?id=842q9r
客家生活,http://sx.aisx.cc/live/gdlt.php?id=852s5t


凤凰,#genre#
凤凰中文,https://shenxian.serv00.net/fhx.php?id=zw
凤凰资讯,https://shenxian.serv00.net/fhx.php?id=zx
凤凰香港,https://shenxian.serv00.net/fhx.php?id=hk


黑龙江ipV6,#genre#
CCTV1,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8
CCTV2,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV3,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV5,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5+,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV6,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226473/index.m3u8
CCTV11,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226565/index.m3u8
CCTV12,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226568/index.m3u8
CCTV13,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV14,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226591/index.m3u8
CCTV15,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226476/index.m3u8
CCTV16,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV17,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
湖南卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8
浙江卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8
江苏卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8
东方卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8
广东卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
广西卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226549/index.m3u8
深圳卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8
北京卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
东南卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
四川卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
天津卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8
安徽卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
山东卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
江西卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
河北卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
河南卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
海南卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
湖北卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8
贵州卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
辽宁卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8
重庆卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
吉林卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
黑龙江卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
NewTv超级电影,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
NewTv超级电视剧,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225716/index.m3u8
NewTv超级体育,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225715/index.m3u8
NewTv超级综艺,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225714/index.m3u8
NewTv金牌综艺,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225666/index.m3u8
NewTv东北热剧,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/index.m3u8
NewTv哒啵赛事,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225675/index.m3u8
NewTv古装剧场,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225663/index.m3u8
NewTv欢乐剧场,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225742/index.m3u8
NewTv黑莓动画,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225662/index.m3u8
NewTv黑莓电影,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225743/index.m3u8
NewTv怡伴健康,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225673/index.m3u8
NewTv潮妈辣婆,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225685/index.m3u8
NewTv军旅剧场,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225676/index.m3u8
NewTv军事评论,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225668/index.m3u8
NewTv中国功夫,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225681/index.m3u8
NewTv农业致富,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225683/index.m3u8
NewTv动作电影,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225661/index.m3u8
NewTv家庭剧场,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225677/index.m3u8
NewTv惊悚悬疑,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225665/index.m3u8
NewTv武博世界,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225680/index.m3u8
NewTv炫舞未来,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225719/index.m3u8
NewTv爱情喜剧,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225669/index.m3u8
NewTv精品萌宠,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226505/index.m3u8
NewTv精品体育,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225674/index.m3u8
NewTv精品大剧,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225670/index.m3u8
